No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
962,MMS,"MAXIMUS, Inc.",Industrials,Specialty Business Services,USA,4.44B,22.36,72.19,1.68%,"426,971",-,22.36,3.23,0.10%,63.93M,2.47%,4.44B,19.47,22.95%,-51.91%,60.27M,-1.76%,208.90M,1.79,0.78,99.30%,1.88%,22.00%,3.12B,1.42,11.30%,-3.79%,2.53,-2.80%,17.81,4.05,11.30%,74.20,-2.46%,-,-,12.50%,17.10%,46.42 - 82.02,-2.96%,1.12,21.80,12.00%,19.10%,-11.98%,0.93,1.55%,2.00,11.20%,21.50%,55.51%,1.99,29600,2.00,11.10%,8.90%,58.54,2.47% 2.80%,Yes,0.14,-55.00%,6.70%,0.96,71.00,Yes,0.13,May 07 BMO,32.60%,446.36K,72.19,2.70,3.50%,3.96%,2.53%,"426,971",1.68%
963,MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,2.44B,-,43.78,0.48%,"196,831",-,-,-0.07,2.60%,55.25M,-4.10%,2.44B,26.84,48.41%,-3.87%,53.60M,-3.27%,-3.90M,-,0.07,-,8.32%,32.75%,1.00B,2.44,-88.40%,-1.49%,9.89,32.91%,17.01,2.57,-0.20%,47.38,-24.23%,0.90,48.66,12.53%,-0.40%,19.50 - 58.92,40.23%,-,126.33,-28.80%,1.30%,-25.70%,1.10,-,1.40,14.30%,43.20%,124.51%,1.83,6355,2.80,2.20%,0.70%,50.89,2.95% 4.47%,Yes,0.47,-151.90%,-0.40%,0.44,43.57,Yes,0.47,Apr 23 AMC,-,450.89K,43.78,2.10,0.84%,2.75%,25.44%,"196,831",0.48%
964,MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,37.66B,34.75,71.76,0.08%,"1,649,394",S&P 500,34.75,2.07,0.10%,536.06M,3.52%,37.66B,29.79,15.43%,-47.41%,474.40M,1.93%,1.13B,3.01,0.48,66.80%,1.46%,22.86%,4.32B,8.72,15.00%,-3.07%,2.92,12.67%,7.22,9.94,22.20%,70.79,10.81%,1.78,40.27,11.55%,27.80%,50.06 - 73.43,12.92%,-,34.96,17.00%,26.20%,-2.27%,1.03,-,2.40,11.30%,58.30%,43.35%,1.63,3529,2.90,12.30%,33.70%,62.21,2.06% 2.22%,Yes,0.00,8.20%,26.10%,0.70,71.70,Yes,0.00,May 07 AMC,0.00%,2.36M,71.76,2.20,3.27%,5.99%,14.38%,"1,649,394",0.08%
965,MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,4.00B,-,34.50,2.19%,"1,113,452",-,-,-2.80,0.40%,117.13M,3.70%,4.00B,-,-11.70%,-64.13%,116.49M,8.59%,-284.80M,-,-0.39,-,5.32%,30.24%,28.60M,139.88,-29.10%,-0.85%,5.27,81.48%,3.66,9.43,-55.20%,44.63,191.39%,3.99,8.64,-,-77.40%,9.51 - 39.88,74.86%,-,-,-8.90%,-65.60%,-13.49%,1.52,-,5.90,-14.50%,-,262.78%,2.17,118,5.90,117.10%,-,50.70,5.00% 7.21%,Yes,0.00,26.00%,-,0.95,33.76,Yes,0.00,May 07 BMO,-,1.17M,34.50,2.30,-1.47%,4.42%,38.55%,"1,113,452",2.19%
966,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,73.79B,-,39.87,-0.18%,"7,516,676",S&P 500,-,-0.43,0.10%,1.86B,1.58%,73.79B,8.84,5.97%,0.00%,1.86B,-6.91%,-803.00M,-,1.03,64.50%,0.67%,3.61%,25.84B,2.86,-117.20%,0.56%,1.27,-19.57%,3.52,11.33,-1.60%,47.93,-17.54%,3.03,13.14,3.18%,-9.20%,30.95 - 52.45,-20.12%,3.36,32.27,-17.70%,-5.00%,-23.98%,0.45,8.43%,0.50,0.50%,49.40%,28.82%,1.04,7300,0.70,13.00%,2.50%,52.73,2.32% 2.54%,Yes,4.58,37.30%,-3.40%,0.77,39.94,Yes,4.12,Jul 28 BMO,-,9.80M,39.87,2.10,-0.47%,2.19%,-8.04%,"7,516,676",-0.18%
967,MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,USA,10.62B,15.95,182.35,-0.04%,"333,252",-,15.95,11.43,0.60%,60.20M,2.46%,10.62B,13.85,10.47%,-1.46%,58.80M,6.16%,717.00M,1.77,4.21,-,5.09%,30.15%,17.26B,0.62,9.10%,-4.56%,4.23,30.94%,27.36,6.66,10.50%,202.15,33.32%,75.11,2.43,9.00%,40.00%,102.85 - 196.52,34.39%,-,43.89,54.80%,23.90%,-7.21%,0.69,-,1.80,11.70%,17.40%,77.30%,6.38,10000,1.80,10.40%,6.10%,57.40,2.44% 3.67%,Yes,1.12,-2.40%,4.20%,0.47,182.42,Yes,1.11,Jul 30 AMC,0.00%,708.87K,182.35,2.10,4.12%,3.35%,27.54%,"333,252",-0.04%
968,MOMO,Momo Inc.,Communication Services,Internet Content & Information,China,4.31B,10.56,21.38,4.24%,"7,158,788",-,10.56,2.03,4.28%,208.65M,22.31%,4.31B,7.27,31.22%,0.00%,161.32M,3.64%,455.50M,4.10,0.42,72.50%,4.35%,-4.72%,2.39B,1.80,1.30%,-5.06%,1.48,-36.91%,9.02,2.37,14.90%,-,-35.90%,10.86,1.97,2.58%,25.30%,16.61 - 39.42,-33.84%,-,6.56,99.90%,14.40%,-45.77%,1.70,-,4.70,228.10%,49.70%,28.72%,1.10,2350,4.70,-3.50%,22.20%,59.75,6.08% 5.30%,Yes,0.38,81.10%,19.10%,1.50,20.51,Yes,0.38,May 28 BMO,0.00%,4.76M,21.38,1.80,12.73%,4.69%,-23.64%,"7,158,788",4.24%
969,MOR,MorphoSys AG,Healthcare,Biotechnology,Germany,4.36B,-,33.39,1.18%,"231,666",-,-,-0.26,-,130.66M,5.43%,4.36B,-,-1735.30%,-,126.81M,7.29%,-,-,-2.00,7.16%,0.56%,35.90%,-,-,104.70%,-,4.90,-5.36%,4.90,6.81,-,38.22,36.84%,-,-,-,-,18.21 - 37.96,-6.39%,-,-,-,-,-12.04%,-,-,-,-,-,83.36%,0.80,516,-,1754.30%,-,62.02,1.52% 2.39%,No,-,-,-,1.59,33.00,Yes,-,-,-,145.99K,33.39,2.00,6.26%,8.45%,13.13%,"231,666",1.18%
970,MORN,"Morningstar, Inc.",Financial,Financial Data & Stock Exchanges,USA,6.59B,45.59,150.44,0.78%,"50,492",-,45.59,3.30,47.80%,42.90M,6.72%,6.59B,-,-,-3.69%,21.92M,-1.14%,142.70M,2.85,-,47.00%,1.52%,26.62%,1.24B,5.30,-17.30%,0.45%,2.94,-0.90%,24.07,6.25,6.70%,-,2.84%,7.97,18.89,16.00%,13.70%,102.59 - 166.59,-0.57%,1.20,33.12,15.10%,9.00%,-9.69%,1.14,0.80%,1.30,9.20%,58.60%,46.64%,4.57,6737,1.30,25.10%,14.80%,55.62,3.68% 3.22%,Yes,0.51,-28.50%,11.50%,0.45,149.28,Yes,0.50,Jul 29 AMC,34.20%,113.38K,150.44,-,2.18%,2.40%,2.50%,"50,492",0.78%
971,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,4.42B,-,12.11,-5.91%,"5,562,641",S&P 500,-,-3.69,0.20%,378.80M,-3.20%,4.42B,14.47,362.43%,5.42%,343.15M,-19.16%,-1401.20M,-,-0.01,80.00%,2.54%,3.77%,8.80B,0.50,-328.60%,-0.10%,1.88,-42.11%,22.14,0.55,-7.10%,18.79,-48.09%,2.93,4.13,7.00%,-14.70%,6.50 - 25.70,-44.04%,0.20,27.19,-24.90%,-6.30%,-52.89%,1.72,1.65%,0.70,-0.30%,7.10%,86.31%,0.75,12600,1.30,-5.30%,-15.50%,44.18,5.06% 5.44%,Yes,0.67,-258.70%,-15.90%,1.20,12.87,Yes,0.54,May 04 AMC,-,4.64M,12.11,2.30,-6.72%,-1.50%,-25.94%,"5,562,641",-5.91%
972,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,21.97B,-,34.15,-1.56%,"12,110,294",S&P 500,-,-10.25,0.20%,648.00M,-8.64%,21.97B,15.08,197.80%,0.00%,643.45M,-19.09%,-6590.00M,-,-1.41,77.00%,3.99%,51.71%,120.18B,0.18,-24.80%,-2.54%,2.53,-42.26%,37.17,0.92,-6.90%,46.86,-37.50%,2.63,13.00,-1.10%,-21.00%,15.26 - 69.65,-43.32%,2.32,50.61,-2.00%,7.20%,-50.97%,2.23,6.79%,0.60,4.90%,10.70%,123.79%,2.26,60910,1.20,-15.20%,-5.70%,42.47,4.82% 6.24%,Yes,1.31,-,-5.50%,1.20,34.69,Yes,1.24,Aug 03 BMO,-,10.12M,34.15,1.90,-8.09%,-3.06%,-27.63%,"12,110,294",-1.56%
973,MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,18.79B,-,18.00,0.00%,"3,717,518",-,-,-2.14,0.10%,1.06B,4.17%,18.79B,7.53,11.32%,0.00%,386.26M,-15.49%,-2303.00M,-,0.51,31.00%,4.78%,43.88%,7.80B,2.41,-55.00%,-2.59%,4.49,-32.99%,11.82,1.52,-,23.00,-43.56%,0.05,329.73,4.51%,-,6.87 - 32.65,-29.30%,2.75,-,-7.80%,6.50%,-44.87%,2.00,15.28%,1.00,75.20%,52.60%,162.01%,0.95,6200,1.10,-55.60%,-,49.31,4.70% 5.22%,Yes,0.00,-528.60%,-,0.90,18.00,Yes,1.71,Aug 03 BMO,-,4.11M,18.00,2.00,-0.66%,-2.08%,-15.32%,"3,717,518",0.00%
974,MPW,"Medical Properties Trust, Inc.",Real Estate,REIT - Healthcare Facilities,USA,9.86B,22.50,18.38,-0.22%,"2,088,404",-,22.50,0.82,1.40%,528.33M,-2.23%,9.86B,15.90,19.54%,-10.97%,521.91M,-11.80%,377.60M,-,0.27,84.80%,3.27%,5.81%,967.90M,10.19,-68.60%,0.00%,4.01,-11.85%,13.40,1.37,2.90%,20.82,-0.33%,0.93,19.72,-,6.10%,12.35 - 24.29,-12.93%,1.08,-,24.50%,4.00%,-24.33%,0.66,5.88%,-,22.30%,97.70%,48.83%,0.73,86,-,62.90%,63.50%,45.51,3.09% 3.70%,Yes,1.10,-21.90%,39.00%,0.49,18.42,Yes,1.10,Apr 29 AMC,127.00%,4.25M,18.38,2.00,-3.91%,0.78%,-6.20%,"2,088,404",-0.22%
975,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,USA,11.00B,94.98,247.53,1.45%,"226,845",-,94.98,2.61,5.60%,44.46M,4.44%,11.00B,47.40,27.30%,-25.28%,43.50M,7.79%,120.40M,3.80,1.00,96.80%,2.39%,48.35%,652.30M,16.86,1.40%,0.87%,2.86,40.19%,18.29,13.53,12.60%,227.22,78.41%,11.01,22.48,25.00%,15.70%,130.12 - 247.88,39.05%,2.00,74.88,22.10%,13.00%,-0.14%,1.23,0.81%,5.10,17.30%,55.20%,90.23%,7.63,2002,6.30,17.30%,17.10%,67.56,2.20% 3.36%,Yes,0.00,32.40%,18.20%,0.62,244.00,Yes,0.00,Apr 28 AMC,59.00%,363.00K,247.53,1.90,8.84%,15.17%,38.84%,"226,845",1.45%
976,MRCY,"Mercury Systems, Inc.",Industrials,Aerospace & Defense,USA,4.29B,58.05,76.34,-2.34%,"336,787",-,58.05,1.32,1.10%,54.60M,-2.95%,4.29B,32.21,10.08%,-16.34%,54.53M,-14.85%,71.30M,2.70,0.57,98.27%,3.58%,6.13%,756.20M,5.68,12.10%,3.31%,3.70,5.43%,24.71,3.09,4.60%,92.50,9.37%,7.24,10.55,21.50%,5.40%,52.24 - 96.29,10.46%,-,59.82,56.30%,5.00%,-20.72%,1.01,-,5.20,25.70%,45.00%,46.13%,3.74,1884,6.50,19.10%,11.20%,40.44,4.11% 4.94%,Yes,0.15,45.30%,9.40%,0.64,78.17,Yes,0.15,Apr 28 AMC,0.00%,528.63K,76.34,1.90,-3.54%,-8.98%,-0.62%,"336,787",-2.34%
977,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,195.03B,19.60,77.92,-1.02%,"7,834,449",DJIA S&P500,19.60,3.98,0.10%,2.53B,0.76%,195.03B,12.83,14.57%,-4.29%,2.52B,-6.01%,10.20B,3.27,1.05,77.50%,0.58%,-0.81%,48.08B,4.06,58.90%,-1.05%,1.35,-12.65%,10.35,7.53,12.10%,93.00,-8.18%,2.97,26.24,6.00%,38.10%,65.25 - 92.64,-14.33%,2.44,62.33,-1.10%,19.20%,-15.89%,0.49,3.13%,0.90,2.10%,72.20%,19.42%,1.73,71000,1.10,11.50%,25.50%,50.70,1.70% 2.24%,Yes,1.07,10.30%,21.10%,0.73,78.72,Yes,0.83,Jul 31 BMO,58.30%,10.78M,77.92,2.00,0.59%,-0.61%,-5.48%,"7,834,449",-1.02%
978,MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,25.11B,-,61.58,0.80%,"7,571,326",-,-,-1.50,2.60%,353.11M,-4.10%,25.11B,207.34,120.50%,-29.10%,308.91M,4.20%,-505.60M,-,-0.37,50.30%,9.31%,92.32%,52.60M,477.29,-27.10%,10.31%,1.36,246.34%,4.65,13.24,-29.20%,91.90,314.68%,2.99,20.62,16.80%,-37.40%,11.54 - 87.00,214.83%,-,-,-,-44.90%,-29.22%,-,-,9.30,-,-,433.62%,4.10,830,9.30,-47.50%,-,50.01,7.40% 6.41%,Yes,0.02,12.70%,-,0.36,61.09,Yes,0.02,May 07 BMO,-,21.14M,61.58,1.90,-1.36%,1.97%,93.30%,"7,571,326",0.80%
979,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,4.36B,17.72,5.67,1.80%,"24,008,570",S&P 500,17.72,0.32,0.40%,794.00M,-7.35%,4.36B,-,35.70%,5.01%,788.05M,-32.74%,260.00M,3.62,-0.56,84.70%,5.80%,54.08%,5.21B,0.84,-54.20%,-3.26%,1.10,-58.88%,15.06,0.38,1.30%,7.48,-58.12%,1.31,4.31,4.90%,2.10%,3.02 - 14.39,-58.25%,-,1.32,-16.00%,4.10%,-60.60%,3.43,-,1.30,-14.60%,86.80%,87.75%,0.44,2000,1.30,5.70%,11.10%,43.62,5.58% 6.28%,Yes,0.00,-127.30%,5.00%,0.58,5.57,Yes,0.46,May 06 AMC,62.30%,41.36M,5.67,2.90,-9.90%,-6.22%,-37.36%,"24,008,570",1.80%
980,MRTX,"Mirati Therapeutics, Inc.",Healthcare,Biotechnology,USA,5.22B,-,119.00,1.38%,"342,139",-,-,-6.50,11.90%,42.89M,4.23%,5.22B,-,-5.20%,-10.96%,36.26M,14.01%,-259.00M,-,-2.09,-,14.16%,54.87%,2.40M,2174.73,-78.70%,14.60%,9.92,15.79%,15.30,7.78,-48.90%,118.07,14.35%,15.85,7.51,-,-53.30%,66.01 - 132.59,-7.65%,-,-,-11.90%,-,-10.25%,1.82,-,12.60,-,-,80.28%,5.38,111,12.60,-75.00%,-,63.25,4.14% 4.92%,Yes,0.00,-72.80%,-,0.66,117.38,Yes,0.00,-,-,517.73K,119.00,1.80,6.38%,14.99%,25.79%,"342,139",1.38%
981,MRVL,Marvell Technology Group Ltd.,Technology,Semiconductors,Bermuda,24.54B,17.54,37.58,6.04%,"14,198,794",-,17.54,2.14,0.20%,663.55M,7.19%,24.54B,27.25,50.88%,-10.22%,659.14M,7.53%,1.52B,0.43,0.20,96.10%,2.52%,57.44%,2.73B,8.99,873.60%,-5.50%,1.76,43.16%,12.86,2.92,14.30%,34.82,53.01%,-,-,40.50%,19.20%,16.45 - 36.92,41.49%,0.24,218.89,20.30%,16.50%,1.80%,1.08,0.64%,1.70,-5.80%,48.40%,128.45%,1.28,5633,2.10,4.70%,-11.70%,68.38,2.90% 3.32%,Yes,0.17,-131.70%,55.70%,1.50,35.44,Yes,0.17,May 28 AMC,10.40%,9.45M,37.58,2.00,9.04%,20.20%,42.69%,"14,198,794",6.04%
982,MS,Morgan Stanley,Financial,Capital Markets,USA,76.78B,10.18,48.91,2.99%,"12,263,968",S&P 500,10.18,4.81,24.20%,1.56B,1.26%,76.78B,10.74,21.50%,0.03%,1.19B,-2.47%,7.77B,-,1.00,65.60%,5.17%,32.40%,51.90B,1.48,9.70%,3.57%,4.59,-3.95%,49.74,0.98,0.90%,51.07,11.72%,83.78,0.58,-1.58%,10.40%,27.20 - 57.57,-4.32%,1.40,1.75,26.40%,1.80%,-15.04%,1.49,2.86%,-,7.20%,73.20%,79.82%,1.79,60670,-,-14.20%,20.20%,57.39,2.83% 3.64%,Yes,6.15,-27.40%,15.00%,0.91,47.49,Yes,2.52,Apr 16 BMO,27.70%,13.44M,48.91,2.10,2.59%,11.16%,7.64%,"12,263,968",2.99%
983,MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,USA,4.24B,27.59,110.11,-0.48%,"167,131",-,27.59,3.99,3.10%,38.82M,-3.78%,4.24B,22.40,11.33%,-5.89%,36.02M,-10.21%,156.60M,1.53,0.95,80.60%,5.54%,10.24%,1.42B,2.99,11.00%,1.09%,6.17,-13.90%,18.26,6.03,9.10%,130.67,7.14%,5.00,22.02,18.00%,22.30%,83.57 - 142.34,-12.86%,1.72,57.32,8.80%,13.10%,-22.64%,1.10,1.56%,1.90,4.30%,45.40%,31.76%,3.79,4800,2.70,4.60%,15.00%,44.20,2.29% 3.61%,Yes,0.52,86.80%,11.10%,0.52,110.64,Yes,0.50,Apr 29 AMC,41.50%,323.76K,110.11,2.20,-1.24%,-3.84%,-7.14%,"167,131",-0.48%
984,MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges,USA,30.88B,59.41,370.71,5.13%,"784,948",S&P 500,59.41,6.24,0.60%,84.87M,11.05%,30.88B,47.23,12.37%,-2.80%,80.94M,11.97%,533.60M,5.03,1.66,96.00%,1.09%,29.58%,1.60B,19.26,19.00%,0.46%,1.51,41.27%,-4.17,-,14.20%,350.29,55.76%,12.81,28.94,11.80%,-263.30%,206.82 - 359.70,43.59%,2.72,64.28,31.10%,23.90%,3.06%,0.93,0.73%,2.00,9.30%,82.10%,79.24%,12.53,3459,2.00,12.20%,50.00%,67.14,3.04% 3.38%,Yes,-,-16.80%,33.30%,1.34,352.61,Yes,-,Apr 28 BMO,41.60%,585.41K,370.71,2.50,11.74%,11.79%,31.26%,"784,948",5.13%
985,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,1601.78B,37.54,212.83,2.20%,"33,526,560",DJIA S&P500,37.54,5.67,0.10%,7.60B,4.58%,1601.78B,34.18,9.40%,-4.34%,7.48B,12.99%,43.67B,2.47,1.38,73.30%,0.57%,30.18%,138.70B,11.55,22.20%,-1.55%,1.16,35.06%,15.06,14.13,16.30%,203.73,55.97%,18.28,11.64,15.22%,42.70%,130.78 - 214.67,34.96%,2.04,56.07,12.50%,19.90%,-0.86%,0.93,0.96%,2.90,7.70%,68.20%,62.74%,5.06,144000,2.90,14.60%,37.40%,69.72,2.12% 2.61%,Yes,0.66,23.20%,33.40%,0.91,208.25,Yes,0.62,Apr 29 AMC,32.00%,36.89M,212.83,1.70,7.55%,13.01%,29.63%,"33,526,560",2.20%
986,MSGS,Madison Square Garden Sports Corp.,Communication Services,Entertainment,USA,3.62B,-,149.63,0.42%,"105,688",-,-,-7.43,0.10%,24.00M,1.87%,3.62B,3649.51,100.60%,0.00%,16.48M,-16.87%,-177.10M,-,-2.02,91.90%,8.24%,-6.64%,1.53B,2.36,-59.40%,3.17%,5.32,-29.78%,106.44,1.41,-4.40%,223.67,-26.09%,55.31,2.71,16.90%,-6.80%,130.12 - 225.62,-28.67%,-,-,16.00%,-0.60%,-33.68%,0.95,-,2.00,12.30%,39.70%,15.00%,4.99,2900,2.00,-18.00%,-14.60%,37.72,2.69% 3.28%,Yes,0.15,-432.90%,-11.60%,0.41,149.01,Yes,0.15,May 11 BMO,-,255.00K,149.63,1.60,-4.64%,-8.80%,-18.91%,"105,688",0.42%
987,MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,22.62B,25.43,132.13,0.80%,"1,489,104",S&P 500,25.43,5.20,0.20%,170.60M,-5.71%,22.62B,15.45,14.18%,-62.10%,169.33M,-16.54%,914.00M,2.46,1.21,90.70%,1.57%,-7.24%,7.89B,2.87,-4.10%,1.51%,1.61,-20.27%,-5.56,-,8.80%,160.66,-22.44%,9.77,13.53,10.32%,-98.30%,120.77 - 187.49,-18.00%,2.56,18.02,30.20%,31.30%,-29.53%,0.66,1.94%,1.00,6.00%,50.00%,9.41%,4.31,17000,1.20,-0.10%,19.70%,41.23,2.40% 2.85%,Yes,-,29.50%,11.60%,0.90,131.08,Yes,-,May 07 AMC,43.20%,1.66M,132.13,1.90,-5.41%,-5.23%,-16.32%,"1,489,104",0.80%
988,MSM,"MSC Industrial Direct Co., Inc.",Industrials,Industrial Distribution,USA,3.71B,14.16,68.20,-7.50%,"1,897,287",-,14.16,4.82,0.30%,55.47M,-6.33%,3.71B,15.11,1.94%,-32.75%,44.48M,-9.01%,267.10M,9.44,1.13,94.40%,3.10%,17.48%,3.32B,1.12,2.30%,-2.67%,2.49,-3.93%,22.67,3.01,11.40%,71.71,0.93%,0.82,82.69,1.50%,18.80%,44.93 - 75.32,-7.04%,3.00,21.59,6.70%,15.90%,-9.45%,0.97,4.40%,0.90,3.80%,42.20%,51.79%,2.41,6700,1.70,-4.50%,11.10%,44.90,3.16% 3.02%,Yes,0.54,-19.20%,8.00%,3.42,73.73,Yes,0.21,Jul 08 BMO,59.60%,554.13K,68.20,2.90,-5.15%,1.08%,2.89%,"1,897,287",-7.50%
989,MT,ArcelorMittal,Basic Materials,Steel,Luxembourg,11.91B,-,11.28,-0.35%,"4,547,933",-,-,-3.94,44.80%,1.01B,5.13%,11.91B,9.29,175.60%,0.00%,722.08M,-5.69%,-3988.00M,-,-0.46,3.20%,1.70%,11.79%,66.27B,0.18,-148.00%,-3.52%,1.89,-33.14%,33.84,0.33,-4.60%,16.66,-31.80%,4.07,2.77,-,-10.30%,6.64 - 18.89,-35.69%,0.20,6.63,-11.10%,-2.10%,-40.29%,2.32,1.77%,0.50,-2.30%,-,69.88%,0.55,191000,1.20,-22.60%,-2.60%,53.59,3.22% 4.18%,Yes,0.40,-371.90%,-6.00%,0.70,11.32,Yes,0.31,Jul 30 BMO,-,6.51M,11.28,2.00,4.84%,8.95%,-16.03%,"4,547,933",-0.35%
990,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,12.79B,8.02,98.98,0.45%,"799,497",S&P 500,8.02,12.34,0.40%,129.70M,-4.80%,12.79B,9.51,29.82%,-0.87%,127.72M,-22.31%,1.64B,-,1.73,85.20%,1.62%,-4.48%,4.77B,2.68,8.00%,0.07%,2.19,-40.33%,112.31,0.88,1.30%,122.06,-43.19%,101.38,0.98,-8.68%,11.30%,85.09 - 174.67,-41.69%,4.40,16.08,13.10%,15.60%,-43.33%,1.22,4.45%,-,10.50%,-,16.32%,5.15,16998,-,-8.60%,76.50%,41.07,3.75% 4.45%,Yes,0.43,-42.30%,34.30%,0.84,98.54,Yes,0.43,Jul 23 BMO,34.00%,946.60K,98.98,2.90,-7.74%,-6.56%,-28.43%,"799,497",0.45%
991,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,USA,24.67B,77.92,94.20,2.39%,"4,036,844",-,77.92,1.21,1.00%,84.84M,-12.00%,24.67B,47.70,670.50%,-8.92%,78.30M,5.24%,131.40M,5.19,-0.11,98.30%,9.45%,34.23%,4.88B,5.05,-29.20%,-0.27%,2.72,12.38%,28.58,3.30,1.60%,320.41,30.65%,11.05,8.53,15.00%,4.70%,44.74 - 108.45,14.72%,-,31.60,12.00%,10.50%,-13.14%,-,-,3.30,8.90%,75.70%,110.55%,5.10,8700,3.30,11.10%,5.40%,49.62,8.64% 5.21%,Yes,1.50,-353.40%,2.70%,1.49,92.00,Yes,1.50,May 05 AMC,0.00%,2.72M,94.20,1.70,-1.69%,6.56%,22.45%,"4,036,844",2.39%
992,MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,USA,19.33B,36.97,818.19,-0.11%,"89,964",S&P 500,36.97,22.13,0.30%,24.03M,1.57%,19.33B,33.05,17.42%,-62.32%,23.47M,-3.59%,547.40M,6.06,4.18,98.00%,2.84%,15.32%,2.98B,6.49,12.20%,-1.76%,4.46,2.64%,12.75,64.17,20.00%,748.20,-5.03%,13.70,59.72,6.10%,131.20%,579.40 - 867.93,3.14%,-,40.57,14.50%,32.80%,-5.73%,1.08,-,1.30,3.90%,58.00%,41.21%,20.87,16200,1.80,-4.50%,22.60%,60.20,1.57% 2.74%,Yes,5.12,-8.80%,18.40%,0.60,819.06,Yes,4.94,May 07 AMC,0.00%,149.57K,818.19,3.20,3.24%,6.86%,10.93%,"89,964",-0.11%
993,MTG,MGIC Investment Corporation,Financial,Insurance - Specialty,USA,2.57B,4.07,7.56,2.58%,"5,070,046",-,4.07,1.86,0.80%,344.05M,-7.69%,2.57B,5.19,31.47%,-0.02%,332.91M,-26.39%,671.60M,-,0.15,95.30%,5.84%,17.03%,1.23B,2.09,3.80%,-0.02%,2.76,-45.53%,12.33,0.61,10.90%,12.07,-43.88%,1.07,7.04,-0.27%,16.00%,4.34 - 15.24,-46.65%,0.24,4.43,23.70%,14.10%,-50.39%,1.86,3.17%,-,5.20%,-,74.19%,0.57,724,-,5.20%,73.00%,43.53,6.10% 6.35%,Yes,0.20,1.70%,54.60%,0.72,7.37,Yes,0.20,May 07 AMC,9.40%,7.04M,7.56,1.90,-9.35%,-5.20%,-32.18%,"5,070,046",2.58%
994,MTH,Meritage Homes Corporation,Consumer Cyclical,Residential Construction,USA,3.08B,10.84,82.20,6.71%,"801,967",-,10.84,7.58,1.50%,38.09M,7.99%,3.08B,14.05,-3.78%,-33.23%,36.85M,9.41%,295.40M,-,1.41,-,3.85%,102.96%,3.86B,0.80,16.40%,-5.01%,2.97,30.37%,52.27,1.57,8.20%,71.50,56.10%,21.25,3.87,-1.80%,15.50%,25.24 - 79.26,34.51%,-,9.23,13.20%,8.30%,3.71%,1.76,-,-,11.00%,12.90%,225.67%,3.91,1510,-,27.20%,9.30%,65.37,4.55% 5.33%,Yes,0.76,180.20%,7.70%,1.68,77.03,Yes,0.76,Jul 22 AMC,0.00%,477.52K,82.20,2.60,11.09%,22.62%,29.78%,"801,967",6.71%
